"sigma_o","sigma_x","Number of Components","Seed"
"22, 14, 73, 54, 20, 4, 43, 45, 56, 61, 75, 39, 50, 26, 36, 9, 74, 13, 27, 2, 29, 12, 72, 19, 1, 64, 48, 38, 71, 62, 59, 42, 70, 15, 18, 28, 37, 8, 65, 51, 58, 69, 16, 44, 31, 10, 67, 33, 32, 34, 57, 60, 17, 40, 66, 6, 47, 11, 55, 46, 35, 5, 63, 41, 7, 25, 3, 49, 68, 24, 23, 30, 21, 52, 53","43, 68, 50, 51, 5, 45, 63, 16, 39, 7, 23, 12, 15, 56, 53, 46, 57, 54, 3, 25, 72, 59, 38, 20, 42, 6, 65, 32, 2, 4, 28, 61, 19, 52, 40, 21, 70, 18, 71, 44, 36, 34, 26, 49, 27, 13, 17, 58, 33, 47, 60, 35, 30, 31, 14, 55, 24, 48, 69, 75, 67, 37, 62, 29, 66, 22, 64, 9, 10, 8, 74, 1, 41, 11, 73","4","13807780"
"13, 43, 10, 26, 65, 40, 14, 7, 60, 20, 44, 8, 75, 1, 28, 37, 38, 15, 64, 4, 74, 49, 35, 52, 66, 30, 62, 48, 29, 45, 72, 18, 2, 31, 69, 24, 51, 63, 42, 73, 68, 41, 57, 47, 19, 32, 67, 46, 23, 17, 12, 6, 55, 59, 33, 39, 11, 70, 53, 5, 34, 56, 58, 22, 50, 27, 71, 25, 21, 61, 36, 54, 9, 3, 16","74, 50, 12, 17, 31, 2, 30, 61, 25, 66, 49, 55, 37, 45, 27, 73, 1, 26, 14, 10, 67, 29, 59, 33, 40, 8, 43, 3, 32, 13, 56, 5, 44, 60, 36, 72, 65, 62, 6, 53, 21, 47, 7, 15, 70, 68, 57, 42, 34, 48, 69, 18, 28, 38, 71, 16, 20, 23, 58, 24, 41, 22, 63, 51, 4, 64, 75, 46, 9, 11, 35, 19, 54, 39, 52","3","13807780"
"71, 58, 53, 13, 48, 22, 33, 37, 16, 47, 27, 56, 61, 52, 15, 54, 45, 64, 24, 59, 6, 63, 36, 51, 19, 75, 11, 30, 32, 29, 41, 5, 73, 49, 57, 66, 40, 14, 43, 21, 25, 34, 9, 44, 68, 55, 7, 1, 26, 39, 46, 10, 23, 50, 60, 20, 18, 28, 3, 65, 38, 2, 17, 42, 35, 72, 67, 12, 74, 4, 70, 31, 69, 62, 8","67, 7, 49, 21, 64, 27, 23, 57, 42, 8, 55, 25, 24, 15, 10, 46, 69, 50, 28, 43, 30, 74, 72, 41, 40, 37, 68, 5, 12, 17, 9, 52, 71, 75, 26, 19, 36, 61, 31, 48, 22, 14, 63, 54, 51, 73, 2, 56, 29, 6, 16, 4, 34, 1, 59, 35, 66, 20, 47, 13, 32, 60, 11, 18, 53, 44, 70, 33, 38, 62, 3, 58, 65, 39, 45","5","13807780"
"46, 16, 52, 74, 45, 20, 65, 47, 51, 4, 43, 27, 35, 3, 72, 37, 36, 12, 33, 55, 62, 30, 7, 40, 50, 22, 29, 24, 6, 25, 14, 58, 23, 26, 13, 34, 64, 1, 68, 48, 21, 49, 53, 70, 75, 73, 39, 19, 41, 18, 57, 9, 63, 32, 56, 10, 69, 2, 15, 11, 38, 31, 17, 61, 5, 67, 44, 54, 59, 28, 42, 8, 60, 66, 71","72, 31, 17, 3, 12, 28, 56, 30, 32, 55, 16, 50, 34, 2, 27, 26, 38, 1, 67, 19, 51, 46, 47, 24, 5, 74, 39, 40, 57, 9, 11, 45, 29, 6, 42, 49, 14, 58, 61, 4, 69, 71, 52, 35, 41, 59, 66, 20, 10, 54, 65, 25, 68, 23, 64, 63, 70, 15, 73, 8, 43, 36, 18, 21, 37, 53, 62, 48, 75, 60, 22, 44, 13, 7, 33","6","13807780"
"35, 64, 25, 4, 66, 72, 73, 63, 44, 42, 13, 10, 8, 2, 23, 16, 14, 46, 33, 34, 15, 26, 41, 52, 19, 9, 47, 3, 22, 18, 68, 62, 12, 69, 45, 59, 11, 32, 1, 71, 17, 54, 36, 48, 70, 61, 21, 7, 49, 74, 37, 27, 5, 53, 60, 6, 51, 43, 38, 40, 28, 24, 20, 50, 58, 29, 55, 39, 67, 30, 56, 75, 65, 57, 31","17, 40, 49, 35, 8, 31, 7, 67, 10, 60, 29, 66, 72, 3, 37, 44, 33, 16, 4, 32, 20, 21, 24, 38, 13, 61, 39, 46, 59, 14, 34, 6, 9, 64, 23, 25, 27, 74, 28, 15, 30, 58, 1, 12, 56, 26, 48, 69, 68, 75, 36, 53, 55, 54, 57, 41, 2, 65, 52, 70, 22, 42, 19, 62, 71, 5, 45, 47, 43, 18, 51, 50, 11, 63, 73","6","13807780"
"71, 17, 49, 44, 54, 7, 18, 53, 35, 33, 70, 62, 52, 40, 42, 8, 1, 48, 14, 47, 55, 2, 21, 57, 75, 45, 9, 39, 20, 24, 4, 56, 13, 32, 68, 16, 25, 69, 61, 34, 30, 43, 23, 26, 67, 72, 38, 37, 10, 28, 6, 63, 65, 60, 58, 50, 3, 12, 59, 27, 11, 31, 15, 5, 19, 36, 41, 22, 73, 74, 46, 66, 51, 64, 29","58, 18, 36, 22, 19, 60, 62, 67, 26, 10, 65, 38, 28, 32, 23, 40, 71, 43, 54, 1, 64, 11, 75, 12, 30, 52, 42, 13, 34, 4, 44, 20, 3, 5, 17, 74, 14, 68, 53, 29, 25, 50, 51, 39, 57, 63, 41, 2, 59, 7, 31, 45, 72, 8, 15, 47, 55, 33, 46, 69, 48, 6, 27, 70, 24, 37, 49, 61, 16, 9, 56, 21, 73, 66, 35","5","13807780"
"10, 48, 28, 27, 6, 33, 43, 57, 18, 47, 71, 50, 14, 63, 3, 25, 32, 21, 61, 29, 4, 1, 17, 5, 54, 55, 11, 31, 38, 70, 9, 59, 37, 42, 52, 20, 23, 69, 30, 74, 53, 39, 24, 56, 64, 26, 12, 45, 72, 34, 49, 15, 60, 62, 75, 8, 35, 7, 40, 46, 51, 19, 68, 73, 2, 41, 36, 58, 44, 16, 65, 22, 13, 66, 67","60, 45, 1, 3, 56, 19, 8, 29, 61, 63, 40, 33, 69, 32, 23, 13, 50, 41, 75, 67, 68, 52, 70, 31, 74, 26, 42, 21, 25, 59, 10, 35, 2, 54, 49, 62, 71, 48, 44, 64, 5, 57, 18, 34, 4, 20, 39, 16, 11, 7, 30, 53, 17, 6, 12, 38, 47, 24, 55, 51, 15, 28, 65, 36, 66, 43, 9, 46, 72, 27, 37, 58, 14, 73, 22","2","13807780"
"64, 58, 65, 24, 60, 68, 12, 45, 55, 20, 23, 4, 52, 25, 31, 54, 48, 22, 8, 40, 7, 26, 75, 38, 47, 74, 41, 50, 42, 72, 70, 34, 62, 32, 73, 51, 16, 14, 11, 15, 30, 35, 53, 28, 56, 21, 29, 13, 19, 43, 9, 61, 10, 5, 57, 59, 6, 46, 2, 27, 71, 36, 39, 67, 63, 1, 37, 3, 33, 18, 49, 69, 44, 66, 17","38, 4, 75, 60, 16, 49, 63, 52, 61, 62, 69, 41, 59, 48, 6, 55, 22, 30, 19, 43, 64, 51, 9, 36, 65, 25, 27, 2, 31, 29, 71, 42, 12, 73, 21, 44, 57, 5, 33, 53, 56, 23, 46, 26, 58, 17, 74, 24, 14, 32, 28, 47, 13, 8, 70, 39, 11, 3, 18, 54, 50, 35, 68, 66, 45, 67, 20, 37, 34, 40, 1, 7, 10, 72, 15","4","13807780"
"21, 71, 34, 1, 47, 29, 70, 43, 26, 52, 72, 12, 73, 31, 74, 62, 67, 45, 8, 16, 38, 13, 51, 56, 44, 42, 48, 58, 14, 40, 2, 17, 41, 49, 27, 22, 50, 7, 11, 63, 55, 24, 46, 6, 35, 39, 20, 57, 64, 4, 54, 61, 23, 30, 53, 37, 33, 60, 5, 69, 28, 18, 25, 36, 75, 65, 15, 32, 3, 19, 10, 59, 66, 9, 68","12, 55, 54, 34, 44, 61, 73, 57, 22, 33, 51, 10, 43, 75, 69, 30, 40, 6, 60, 1, 56, 65, 52, 70, 7, 59, 47, 71, 2, 45, 17, 50, 32, 41, 19, 5, 72, 15, 23, 64, 3, 18, 62, 25, 53, 21, 24, 20, 28, 68, 74, 4, 58, 29, 63, 31, 16, 26, 49, 27, 46, 38, 67, 66, 37, 39, 36, 8, 42, 48, 13, 14, 9, 11, 35","7","13807780"
"5, 9, 59, 72, 40, 11, 60, 31, 19, 41, 35, 57, 33, 25, 75, 65, 43, 23, 18, 45, 8, 44, 46, 32, 30, 74, 73, 69, 58, 62, 39, 7, 54, 42, 15, 4, 61, 16, 27, 63, 29, 36, 56, 21, 28, 37, 20, 12, 66, 47, 13, 52, 10, 64, 22, 51, 53, 24, 3, 55, 67, 2, 71, 26, 1, 70, 34, 14, 68, 17, 49, 6, 48, 38, 50","69, 26, 46, 48, 7, 42, 16, 33, 63, 13, 34, 75, 4, 62, 10, 37, 52, 5, 1, 53, 72, 38, 55, 65, 12, 59, 22, 14, 29, 3, 41, 57, 64, 24, 50, 28, 11, 6, 15, 67, 66, 43, 19, 39, 8, 20, 73, 71, 56, 45, 23, 74, 18, 35, 61, 40, 51, 2, 60, 21, 44, 25, 30, 58, 70, 36, 47, 54, 32, 9, 68, 49, 31, 27, 17","5","13807780"
"54, 28, 64, 32, 20, 61, 66, 22, 47, 11, 63, 67, 7, 50, 62, 69, 73, 35, 24, 53, 71, 21, 55, 68, 46, 18, 75, 57, 59, 19, 70, 37, 60, 29, 42, 39, 52, 26, 33, 38, 44, 1, 43, 27, 23, 2, 45, 74, 5, 10, 15, 4, 31, 16, 40, 14, 12, 56, 6, 17, 30, 9, 49, 25, 41, 58, 36, 34, 65, 48, 51, 13, 3, 72, 8","30, 34, 49, 41, 73, 21, 19, 51, 60, 56, 40, 53, 33, 64, 6, 23, 32, 46, 48, 45, 65, 67, 26, 44, 9, 11, 69, 43, 47, 25, 17, 1, 12, 31, 68, 50, 62, 59, 2, 42, 54, 72, 35, 70, 20, 61, 75, 15, 22, 18, 58, 7, 29, 52, 8, 13, 14, 24, 71, 28, 16, 66, 74, 55, 57, 63, 5, 3, 36, 4, 37, 38, 10, 39, 27","2","13807780"
"4, 6, 54, 56, 60, 63, 8, 28, 3, 57, 1, 2, 26, 37, 72, 75, 73, 58, 22, 45, 64, 65, 9, 27, 61, 31, 38, 35, 21, 43, 67, 11, 69, 32, 59, 53, 36, 34, 17, 66, 62, 33, 24, 42, 50, 12, 40, 25, 7, 10, 39, 14, 5, 52, 13, 41, 68, 74, 15, 20, 18, 19, 30, 51, 70, 47, 16, 71, 44, 46, 49, 23, 29, 55, 48","1, 51, 71, 28, 58, 41, 23, 43, 68, 61, 63, 21, 29, 27, 37, 66, 56, 19, 6, 39, 4, 2, 72, 47, 38, 33, 24, 55, 50, 42, 64, 15, 59, 7, 60, 16, 73, 9, 49, 69, 74, 22, 40, 53, 70, 54, 3, 11, 34, 32, 48, 25, 62, 35, 17, 20, 18, 14, 65, 36, 52, 75, 31, 26, 44, 8, 46, 45, 10, 57, 30, 67, 13, 12, 5","3","13807780"
"53, 6, 45, 44, 75, 47, 37, 51, 46, 73, 25, 13, 12, 33, 16, 30, 68, 36, 49, 27, 19, 29, 54, 22, 24, 15, 60, 28, 3, 31, 8, 11, 67, 70, 2, 1, 72, 61, 58, 32, 35, 23, 39, 59, 69, 64, 26, 14, 62, 4, 10, 74, 40, 71, 20, 42, 43, 65, 48, 34, 7, 9, 57, 5, 38, 63, 17, 41, 55, 21, 66, 50, 52, 56, 18","36, 11, 24, 64, 61, 70, 16, 53, 17, 38, 30, 29, 49, 60, 62, 39, 31, 73, 1, 47, 51, 58, 6, 2, 74, 54, 14, 10, 72, 43, 25, 55, 15, 13, 33, 66, 41, 35, 52, 19, 28, 71, 67, 44, 56, 34, 21, 63, 12, 46, 37, 65, 8, 40, 3, 9, 27, 23, 42, 50, 18, 69, 45, 75, 57, 32, 48, 5, 68, 4, 7, 59, 26, 22, 20","3","13807780"
"65, 3, 75, 33, 21, 5, 52, 47, 51, 45, 11, 19, 2, 15, 62, 43, 63, 74, 32, 44, 67, 41, 49, 71, 68, 20, 6, 30, 54, 42, 31, 36, 28, 25, 4, 73, 8, 69, 58, 72, 26, 46, 18, 59, 57, 16, 10, 39, 29, 48, 40, 34, 35, 9, 60, 38, 17, 12, 24, 1, 61, 14, 64, 7, 37, 55, 66, 53, 27, 56, 23, 13, 50, 22, 70","3, 72, 44, 55, 64, 4, 8, 60, 48, 42, 34, 18, 74, 73, 5, 38, 41, 10, 49, 9, 11, 66, 21, 26, 32, 36, 67, 23, 28, 16, 39, 6, 58, 50, 25, 61, 57, 12, 40, 22, 27, 7, 37, 29, 56, 2, 17, 45, 33, 68, 15, 69, 52, 24, 35, 14, 53, 19, 30, 59, 43, 62, 54, 1, 51, 63, 70, 47, 20, 75, 13, 71, 46, 65, 31","2","13807780"
"73, 14, 6, 65, 16, 30, 70, 19, 1, 34, 12, 27, 74, 38, 51, 42, 66, 5, 8, 26, 53, 37, 63, 50, 52, 11, 48, 9, 64, 36, 67, 4, 44, 75, 71, 25, 33, 61, 62, 59, 60, 23, 32, 7, 72, 24, 31, 15, 21, 2, 28, 57, 43, 54, 35, 13, 45, 41, 3, 17, 40, 58, 69, 49, 18, 10, 55, 39, 46, 29, 56, 22, 68, 47, 20","13, 69, 32, 5, 47, 9, 72, 22, 57, 23, 73, 41, 36, 52, 50, 26, 21, 7, 11, 64, 40, 27, 24, 29, 8, 31, 65, 19, 51, 35, 75, 3, 2, 39, 1, 71, 53, 55, 67, 37, 10, 70, 56, 33, 20, 45, 12, 62, 49, 6, 46, 30, 15, 74, 42, 60, 16, 68, 58, 28, 14, 38, 66, 34, 61, 25, 63, 18, 17, 54, 43, 59, 44, 4, 48","4","13807780"
"8, 38, 31, 17, 69, 64, 24, 59, 58, 5, 7, 10, 40, 25, 32, 1, 75, 43, 28, 26, 47, 20, 14, 11, 49, 6, 54, 23, 21, 34, 16, 9, 41, 57, 66, 70, 22, 35, 44, 18, 36, 2, 71, 45, 3, 55, 19, 15, 30, 37, 62, 65, 39, 27, 63, 42, 53, 73, 52, 60, 61, 56, 68, 74, 51, 67, 50, 33, 46, 12, 4, 13, 72, 48, 29","33, 7, 40, 39, 47, 20, 56, 11, 2, 8, 24, 6, 55, 61, 72, 37, 15, 58, 65, 54, 9, 5, 68, 67, 1, 42, 21, 31, 57, 13, 22, 52, 73, 12, 64, 74, 43, 71, 66, 49, 35, 4, 70, 36, 44, 53, 30, 26, 46, 10, 32, 19, 50, 45, 34, 48, 59, 3, 29, 69, 18, 25, 60, 38, 23, 17, 14, 75, 63, 41, 27, 28, 16, 62, 51","4","13807780"
"20, 60, 68, 2, 4, 67, 46, 72, 15, 61, 39, 75, 5, 71, 48, 51, 6, 11, 55, 64, 69, 65, 50, 17, 54, 37, 30, 9, 16, 32, 7, 70, 21, 40, 56, 49, 10, 59, 44, 57, 23, 27, 73, 35, 28, 74, 36, 3, 52, 58, 25, 18, 13, 33, 29, 31, 26, 14, 47, 45, 12, 8, 1, 53, 19, 22, 41, 66, 62, 63, 43, 42, 24, 38, 34","48, 8, 40, 18, 74, 66, 25, 21, 50, 51, 58, 23, 42, 10, 62, 75, 45, 32, 43, 14, 57, 56, 63, 1, 15, 59, 16, 68, 73, 30, 33, 36, 26, 72, 67, 35, 71, 55, 7, 6, 47, 64, 44, 12, 11, 4, 20, 38, 13, 9, 29, 27, 70, 24, 61, 5, 34, 49, 54, 41, 52, 39, 28, 69, 22, 31, 2, 37, 60, 17, 46, 3, 19, 65, 53","4","13807780"
"32, 17, 46, 10, 65, 4, 56, 21, 35, 16, 29, 61, 13, 70, 1, 50, 20, 3, 8, 49, 54, 68, 22, 60, 57, 25, 73, 59, 2, 38, 69, 11, 36, 34, 42, 48, 74, 51, 44, 67, 71, 26, 12, 47, 62, 45, 72, 37, 63, 15, 52, 43, 39, 9, 18, 66, 33, 53, 24, 30, 75, 19, 27, 58, 31, 14, 23, 40, 6, 41, 7, 5, 28, 64, 55","15, 8, 53, 61, 14, 47, 37, 11, 28, 64, 39, 17, 67, 26, 65, 31, 72, 2, 56, 57, 55, 29, 48, 40, 36, 51, 33, 34, 50, 69, 35, 32, 45, 43, 7, 62, 1, 23, 60, 16, 4, 44, 63, 3, 52, 68, 59, 38, 6, 42, 18, 41, 30, 49, 74, 21, 46, 9, 13, 71, 10, 27, 24, 66, 19, 70, 25, 73, 54, 20, 5, 58, 12, 22, 75","5","13807780"
"2, 60, 44, 55, 52, 18, 71, 24, 41, 14, 72, 30, 49, 58, 75, 47, 62, 28, 10, 67, 3, 16, 4, 34, 37, 17, 25, 7, 61, 50, 9, 64, 74, 46, 32, 1, 70, 66, 42, 36, 23, 73, 33, 35, 13, 19, 56, 53, 20, 29, 39, 8, 22, 15, 65, 31, 11, 27, 69, 12, 54, 57, 6, 68, 21, 63, 43, 45, 38, 59, 26, 48, 40, 51, 5","38, 52, 70, 67, 45, 74, 23, 66, 34, 48, 57, 1, 10, 8, 40, 15, 63, 62, 13, 60, 33, 5, 47, 17, 39, 44, 71, 50, 7, 19, 27, 25, 61, 9, 69, 21, 31, 22, 65, 59, 41, 18, 51, 53, 43, 2, 49, 72, 35, 12, 64, 54, 20, 75, 6, 28, 24, 42, 73, 58, 32, 46, 68, 16, 3, 4, 36, 26, 55, 29, 37, 30, 14, 11, 56","1","13807780"
"42, 23, 71, 22, 68, 67, 29, 59, 40, 65, 37, 17, 69, 52, 75, 3, 24, 70, 21, 1, 38, 9, 53, 43, 55, 48, 32, 44, 41, 62, 5, 2, 15, 20, 72, 47, 4, 6, 39, 45, 49, 54, 26, 61, 13, 60, 14, 33, 63, 64, 66, 19, 8, 28, 10, 7, 50, 25, 11, 36, 16, 58, 73, 18, 56, 46, 31, 74, 27, 51, 35, 34, 30, 57, 12","30, 51, 11, 38, 34, 15, 9, 22, 24, 54, 19, 5, 37, 26, 52, 4, 45, 61, 68, 71, 42, 1, 40, 7, 43, 47, 31, 3, 39, 46, 59, 50, 10, 74, 75, 73, 64, 28, 65, 13, 6, 35, 66, 49, 72, 58, 29, 62, 12, 8, 32, 36, 60, 63, 21, 25, 27, 33, 23, 48, 14, 44, 55, 41, 67, 16, 70, 17, 2, 69, 57, 20, 56, 53, 18","5","13807780"
