"sigma_o","sigma_x","Number of Components","Seed"
"57, 43, 41, 55, 32, 42, 14, 15, 69, 75, 18, 11, 20, 40, 33, 52, 36, 9, 51, 74, 24, 45, 39, 8, 72, 70, 49, 38, 62, 67, 22, 23, 63, 35, 53, 6, 61, 50, 66, 12, 47, 10, 17, 7, 29, 37, 31, 56, 30, 73, 59, 13, 44, 71, 68, 46, 48, 65, 27, 34, 5, 54, 64, 4, 2, 1, 16, 60, 3, 19, 25, 58, 28, 26, 21","35, 34, 38, 47, 20, 6, 7, 51, 10, 29, 12, 4, 2, 65, 58, 1, 54, 60, 21, 39, 70, 13, 16, 57, 71, 37, 24, 8, 14, 5, 49, 30, 73, 19, 63, 44, 25, 72, 33, 50, 46, 28, 18, 23, 31, 36, 56, 66, 45, 9, 15, 62, 43, 59, 52, 27, 22, 75, 11, 74, 48, 26, 69, 40, 61, 41, 64, 42, 67, 53, 68, 17, 55, 3, 32","3","7325547"
"35, 38, 63, 34, 14, 19, 41, 7, 51, 39, 36, 21, 69, 57, 6, 11, 1, 66, 13, 47, 16, 59, 71, 50, 58, 73, 37, 52, 30, 44, 53, 49, 32, 10, 42, 72, 12, 67, 75, 25, 27, 8, 45, 61, 65, 3, 28, 17, 62, 31, 56, 46, 15, 2, 74, 5, 22, 26, 43, 54, 68, 20, 60, 40, 4, 55, 29, 23, 9, 70, 48, 18, 24, 64, 33","49, 28, 42, 45, 34, 6, 73, 37, 38, 46, 54, 50, 21, 10, 29, 27, 70, 12, 35, 26, 8, 66, 14, 9, 31, 43, 18, 56, 16, 39, 25, 74, 67, 5, 47, 11, 13, 61, 2, 57, 68, 4, 1, 75, 41, 33, 65, 20, 17, 72, 51, 32, 53, 71, 60, 24, 3, 19, 48, 62, 63, 23, 59, 64, 22, 44, 36, 69, 55, 30, 52, 7, 15, 40, 58","6","7325547"
"54, 3, 40, 19, 59, 33, 67, 75, 43, 49, 32, 56, 14, 23, 28, 27, 9, 18, 70, 36, 35, 68, 57, 53, 58, 45, 38, 12, 29, 8, 5, 52, 22, 6, 63, 26, 65, 31, 4, 46, 24, 62, 60, 13, 41, 71, 7, 72, 11, 17, 1, 73, 61, 66, 30, 16, 20, 55, 2, 48, 69, 64, 47, 74, 39, 42, 37, 50, 10, 21, 51, 44, 34, 25, 15","45, 23, 43, 60, 22, 61, 73, 19, 5, 48, 25, 37, 62, 54, 51, 34, 41, 57, 38, 7, 59, 21, 75, 55, 9, 2, 64, 40, 6, 36, 8, 46, 72, 44, 10, 66, 31, 63, 30, 24, 17, 13, 69, 32, 70, 16, 29, 4, 42, 58, 39, 18, 50, 47, 14, 53, 15, 56, 28, 33, 1, 35, 3, 71, 27, 65, 67, 20, 52, 11, 68, 26, 74, 12, 49","3","7325547"
"73, 69, 67, 48, 53, 68, 7, 24, 74, 64, 51, 3, 34, 5, 19, 55, 39, 10, 21, 58, 26, 49, 18, 27, 14, 43, 38, 22, 13, 44, 23, 65, 1, 72, 54, 37, 31, 57, 45, 41, 62, 66, 11, 70, 42, 4, 63, 60, 35, 33, 29, 28, 32, 59, 9, 46, 50, 6, 40, 71, 30, 2, 52, 36, 47, 61, 12, 56, 16, 15, 25, 75, 20, 8, 17","69, 75, 5, 22, 26, 71, 62, 21, 65, 46, 33, 45, 49, 30, 66, 61, 60, 14, 15, 12, 20, 28, 11, 74, 59, 72, 48, 3, 7, 6, 63, 52, 39, 54, 40, 51, 9, 4, 41, 70, 19, 58, 18, 42, 32, 8, 10, 17, 13, 29, 53, 56, 47, 37, 1, 43, 25, 57, 36, 38, 67, 44, 35, 64, 24, 50, 16, 27, 34, 73, 2, 55, 68, 23, 31","6","7325547"
"67, 28, 22, 17, 42, 43, 19, 9, 23, 54, 65, 74, 59, 12, 18, 30, 60, 68, 40, 72, 75, 39, 1, 13, 29, 14, 26, 41, 61, 34, 64, 66, 33, 51, 6, 71, 24, 56, 58, 11, 10, 15, 46, 57, 45, 44, 49, 69, 20, 2, 25, 70, 48, 38, 52, 63, 8, 4, 36, 31, 3, 27, 7, 50, 53, 35, 5, 73, 32, 21, 37, 47, 55, 62, 16","14, 32, 48, 68, 58, 13, 44, 37, 7, 6, 59, 49, 27, 22, 33, 73, 3, 64, 29, 11, 35, 16, 51, 26, 19, 56, 25, 72, 40, 23, 21, 5, 2, 39, 63, 43, 45, 60, 69, 12, 57, 24, 65, 10, 36, 74, 61, 41, 62, 50, 17, 1, 75, 4, 20, 55, 52, 18, 42, 71, 38, 15, 66, 8, 70, 47, 53, 46, 31, 54, 9, 67, 28, 30, 34","6","7325547"
"50, 43, 15, 29, 16, 45, 56, 3, 53, 1, 30, 33, 17, 5, 13, 37, 32, 34, 6, 67, 41, 75, 61, 39, 4, 14, 44, 25, 26, 58, 28, 11, 55, 46, 52, 48, 18, 62, 40, 64, 60, 24, 70, 49, 36, 65, 66, 35, 42, 57, 59, 12, 19, 71, 31, 9, 21, 47, 20, 8, 27, 10, 51, 54, 7, 72, 63, 2, 38, 68, 22, 23, 73, 74, 69","7, 14, 5, 53, 69, 41, 61, 74, 55, 44, 8, 21, 42, 15, 36, 66, 60, 37, 57, 46, 54, 11, 68, 30, 40, 25, 28, 10, 39, 51, 18, 19, 71, 70, 34, 35, 56, 63, 72, 6, 24, 67, 3, 59, 31, 49, 26, 38, 12, 16, 13, 27, 58, 52, 64, 65, 47, 33, 23, 32, 29, 1, 50, 22, 2, 4, 48, 43, 17, 75, 62, 73, 20, 45, 9","7","7325547"
"32, 31, 75, 71, 28, 56, 34, 22, 8, 67, 3, 51, 36, 49, 72, 16, 45, 2, 42, 46, 59, 68, 26, 33, 37, 35, 7, 63, 14, 39, 48, 73, 29, 70, 40, 57, 53, 60, 20, 66, 47, 5, 4, 44, 10, 18, 54, 21, 52, 30, 12, 62, 6, 23, 19, 65, 9, 25, 43, 69, 24, 15, 1, 55, 74, 27, 17, 13, 64, 11, 38, 58, 61, 41, 50","10, 12, 37, 63, 21, 22, 41, 48, 58, 9, 27, 18, 16, 32, 42, 7, 60, 65, 61, 67, 45, 40, 49, 11, 35, 26, 38, 74, 29, 20, 73, 14, 75, 47, 57, 46, 50, 68, 4, 51, 13, 36, 56, 39, 72, 28, 71, 6, 53, 17, 43, 44, 31, 2, 30, 62, 3, 8, 15, 19, 59, 24, 54, 1, 23, 52, 33, 66, 34, 5, 70, 64, 25, 55, 69","2","7325547"
"1, 5, 61, 7, 62, 74, 49, 9, 44, 46, 64, 67, 17, 24, 75, 15, 32, 12, 11, 28, 37, 72, 50, 45, 23, 2, 22, 43, 71, 14, 42, 70, 18, 33, 69, 16, 31, 10, 54, 41, 25, 21, 51, 65, 36, 40, 29, 8, 53, 4, 39, 52, 30, 34, 58, 6, 13, 73, 56, 57, 47, 19, 35, 27, 38, 20, 3, 59, 66, 63, 48, 26, 60, 55, 68","28, 14, 72, 45, 39, 17, 11, 55, 4, 38, 70, 69, 65, 9, 15, 71, 73, 3, 41, 13, 57, 10, 29, 12, 51, 50, 40, 47, 42, 66, 5, 74, 20, 8, 58, 26, 22, 1, 37, 54, 67, 31, 64, 46, 27, 48, 35, 68, 49, 25, 30, 32, 34, 53, 61, 60, 44, 19, 75, 6, 43, 63, 7, 21, 33, 24, 56, 18, 62, 2, 16, 52, 23, 59, 36","4","7325547"
"17, 42, 62, 18, 52, 73, 55, 23, 67, 63, 65, 39, 47, 11, 20, 29, 21, 61, 48, 32, 45, 54, 35, 59, 50, 53, 57, 26, 46, 19, 13, 41, 44, 68, 43, 36, 8, 12, 7, 75, 58, 28, 38, 22, 64, 25, 9, 34, 6, 40, 71, 5, 14, 56, 1, 49, 15, 3, 2, 10, 72, 16, 24, 37, 60, 4, 33, 30, 31, 69, 70, 51, 74, 27, 66","53, 44, 9, 7, 49, 21, 1, 68, 62, 6, 63, 55, 2, 32, 43, 48, 75, 4, 61, 11, 71, 33, 18, 72, 65, 29, 50, 31, 40, 70, 37, 30, 56, 13, 5, 8, 73, 19, 20, 51, 42, 35, 10, 28, 3, 46, 60, 25, 39, 16, 67, 22, 15, 36, 27, 26, 69, 64, 74, 57, 24, 45, 58, 59, 23, 47, 14, 12, 41, 54, 66, 34, 17, 38, 52","8","7325547"
"13, 52, 1, 43, 44, 6, 55, 24, 8, 19, 36, 63, 37, 35, 57, 2, 75, 34, 14, 12, 59, 69, 72, 28, 49, 26, 73, 62, 5, 65, 46, 48, 58, 29, 38, 42, 40, 15, 64, 41, 67, 74, 25, 31, 17, 47, 27, 7, 11, 51, 45, 54, 4, 56, 53, 21, 9, 71, 3, 68, 32, 16, 23, 60, 20, 50, 70, 33, 30, 10, 61, 66, 18, 22, 39","12, 16, 11, 68, 61, 60, 3, 62, 50, 35, 2, 28, 56, 40, 58, 53, 31, 23, 41, 43, 15, 25, 32, 52, 74, 30, 6, 46, 33, 26, 47, 57, 5, 10, 48, 65, 49, 54, 19, 45, 36, 18, 39, 7, 64, 66, 22, 42, 34, 71, 29, 38, 70, 63, 1, 8, 72, 55, 27, 14, 37, 59, 75, 24, 21, 51, 17, 44, 67, 9, 73, 20, 69, 4, 13","2","7325547"
"14, 25, 34, 47, 64, 1, 5, 49, 27, 53, 33, 48, 16, 60, 56, 61, 58, 37, 2, 26, 13, 43, 75, 20, 51, 4, 35, 68, 7, 44, 71, 55, 42, 31, 24, 59, 70, 72, 6, 29, 40, 63, 67, 23, 15, 10, 39, 54, 18, 74, 19, 8, 32, 9, 21, 38, 69, 41, 52, 17, 66, 11, 50, 3, 30, 28, 65, 46, 36, 73, 62, 45, 22, 12, 57","2, 37, 55, 45, 27, 71, 42, 26, 23, 9, 6, 58, 3, 15, 16, 49, 33, 39, 63, 70, 31, 28, 25, 32, 46, 7, 74, 30, 64, 66, 8, 5, 20, 56, 34, 10, 41, 22, 69, 59, 60, 61, 4, 43, 13, 73, 52, 21, 48, 36, 57, 35, 68, 67, 17, 40, 75, 18, 72, 51, 53, 54, 14, 50, 19, 29, 62, 47, 44, 11, 12, 65, 24, 38, 1","1","7325547"
"8, 28, 24, 1, 29, 51, 54, 3, 7, 65, 42, 5, 48, 64, 45, 34, 10, 75, 21, 63, 13, 56, 53, 35, 26, 74, 59, 27, 52, 69, 73, 36, 31, 41, 25, 6, 9, 62, 61, 47, 70, 49, 71, 55, 17, 37, 72, 23, 58, 16, 15, 68, 66, 46, 40, 19, 12, 39, 67, 20, 14, 38, 33, 32, 44, 18, 30, 60, 43, 50, 57, 22, 2, 4, 11","55, 34, 63, 13, 58, 28, 59, 66, 36, 9, 21, 71, 17, 22, 72, 37, 51, 70, 48, 53, 39, 35, 15, 45, 61, 16, 42, 24, 67, 23, 11, 7, 33, 68, 57, 25, 1, 8, 60, 10, 64, 52, 46, 5, 14, 32, 31, 26, 6, 47, 20, 19, 44, 69, 49, 65, 27, 41, 54, 62, 2, 50, 56, 30, 73, 3, 12, 29, 38, 4, 43, 40, 18, 74, 75","5","7325547"
"66, 37, 55, 73, 43, 72, 40, 13, 2, 25, 63, 67, 62, 36, 60, 14, 44, 75, 39, 41, 23, 27, 59, 18, 70, 68, 65, 1, 16, 35, 57, 9, 30, 22, 54, 19, 47, 51, 58, 52, 53, 34, 32, 10, 12, 38, 29, 15, 28, 4, 64, 26, 50, 5, 45, 21, 69, 3, 56, 74, 31, 42, 46, 7, 20, 24, 11, 49, 61, 48, 33, 17, 6, 8, 71","71, 54, 73, 37, 31, 74, 51, 61, 9, 18, 57, 27, 34, 42, 49, 12, 20, 70, 72, 21, 1, 35, 19, 38, 53, 8, 44, 39, 67, 17, 69, 59, 48, 11, 60, 7, 45, 41, 29, 6, 55, 40, 65, 68, 75, 3, 2, 16, 63, 5, 33, 52, 15, 47, 23, 58, 43, 28, 62, 30, 56, 32, 50, 46, 66, 4, 13, 10, 24, 14, 64, 25, 26, 36, 22","4","7325547"
"13, 39, 35, 27, 18, 69, 3, 63, 42, 43, 54, 26, 64, 44, 1, 33, 51, 32, 40, 17, 11, 37, 9, 20, 34, 71, 23, 61, 7, 73, 16, 50, 75, 4, 49, 36, 21, 67, 55, 2, 68, 57, 28, 24, 30, 12, 62, 19, 65, 22, 52, 41, 74, 6, 47, 59, 72, 60, 29, 31, 46, 45, 25, 10, 56, 58, 14, 15, 48, 8, 5, 66, 70, 53, 38","75, 2, 62, 23, 43, 25, 24, 26, 5, 64, 34, 28, 12, 67, 74, 60, 56, 57, 4, 22, 17, 3, 30, 52, 69, 20, 48, 40, 8, 31, 1, 54, 68, 36, 15, 6, 13, 16, 46, 61, 14, 41, 35, 66, 18, 47, 21, 27, 63, 53, 19, 49, 55, 33, 32, 39, 42, 11, 10, 58, 71, 50, 7, 65, 72, 45, 44, 38, 9, 59, 73, 29, 51, 37, 70","1","7325547"
"72, 35, 73, 19, 17, 36, 45, 18, 48, 20, 43, 27, 16, 40, 10, 62, 7, 54, 15, 8, 60, 38, 63, 2, 12, 67, 21, 57, 56, 41, 74, 75, 4, 65, 32, 13, 47, 61, 33, 22, 71, 37, 39, 34, 3, 6, 25, 29, 42, 11, 44, 26, 49, 1, 24, 66, 68, 53, 51, 46, 30, 58, 23, 31, 28, 52, 59, 5, 70, 64, 9, 14, 69, 55, 50","69, 42, 40, 31, 32, 73, 66, 46, 4, 45, 57, 50, 2, 20, 3, 25, 43, 61, 11, 51, 34, 28, 19, 75, 56, 63, 8, 64, 18, 14, 68, 15, 49, 72, 13, 65, 36, 7, 60, 17, 6, 35, 59, 23, 67, 30, 44, 52, 1, 74, 70, 53, 58, 55, 21, 27, 29, 54, 22, 33, 62, 47, 16, 9, 12, 10, 38, 37, 24, 5, 26, 39, 41, 48, 71","1","7325547"
"45, 6, 25, 32, 30, 22, 42, 60, 3, 75, 65, 33, 66, 20, 17, 51, 13, 19, 56, 31, 58, 12, 28, 49, 54, 34, 70, 27, 69, 64, 50, 61, 18, 40, 7, 21, 43, 5, 73, 36, 15, 44, 11, 16, 68, 4, 47, 39, 1, 52, 24, 35, 41, 26, 14, 10, 37, 48, 23, 55, 46, 62, 59, 71, 74, 9, 2, 29, 67, 38, 53, 63, 72, 57, 8","41, 20, 57, 3, 1, 53, 70, 69, 12, 23, 25, 5, 9, 56, 4, 59, 52, 67, 44, 74, 54, 34, 27, 47, 6, 65, 11, 31, 21, 71, 18, 15, 68, 73, 58, 36, 66, 16, 42, 39, 24, 14, 32, 45, 8, 60, 17, 26, 46, 37, 50, 28, 33, 22, 49, 51, 2, 13, 10, 48, 29, 64, 55, 62, 75, 30, 40, 72, 38, 63, 35, 43, 19, 7, 61","5","7325547"
"40, 15, 4, 54, 60, 56, 69, 2, 67, 26, 25, 55, 59, 36, 52, 73, 31, 24, 53, 29, 11, 9, 7, 45, 30, 65, 28, 50, 42, 12, 48, 44, 46, 64, 61, 39, 75, 71, 8, 17, 70, 10, 13, 18, 58, 1, 63, 19, 47, 43, 27, 3, 62, 35, 68, 6, 21, 37, 33, 16, 5, 72, 23, 74, 57, 38, 20, 34, 66, 14, 49, 41, 22, 32, 51","31, 61, 71, 1, 24, 68, 38, 32, 3, 15, 6, 51, 16, 40, 36, 49, 55, 60, 37, 56, 7, 26, 27, 67, 54, 17, 5, 64, 28, 8, 74, 57, 23, 72, 63, 59, 22, 48, 21, 65, 52, 2, 47, 41, 44, 39, 58, 10, 43, 75, 45, 18, 34, 11, 19, 73, 20, 29, 4, 9, 42, 50, 53, 25, 66, 69, 30, 62, 13, 33, 46, 70, 14, 12, 35","8","7325547"
"16, 47, 65, 45, 37, 67, 23, 49, 18, 21, 10, 25, 66, 41, 48, 44, 20, 55, 2, 35, 64, 71, 75, 39, 5, 61, 36, 22, 57, 27, 69, 40, 60, 12, 6, 34, 30, 15, 74, 33, 4, 9, 32, 72, 43, 59, 14, 70, 62, 13, 73, 53, 3, 51, 46, 28, 38, 26, 54, 7, 42, 11, 50, 17, 29, 1, 19, 63, 31, 58, 24, 56, 68, 52, 8","36, 19, 17, 15, 53, 66, 69, 62, 44, 60, 39, 73, 6, 37, 41, 63, 13, 74, 28, 72, 68, 51, 5, 29, 27, 4, 70, 56, 71, 16, 30, 34, 26, 23, 32, 57, 54, 18, 25, 7, 35, 2, 9, 48, 14, 11, 61, 52, 49, 33, 67, 38, 45, 1, 50, 24, 64, 59, 8, 21, 22, 20, 43, 47, 58, 40, 12, 31, 46, 3, 10, 42, 75, 65, 55","5","7325547"
"57, 33, 21, 31, 30, 29, 3, 10, 70, 49, 6, 13, 18, 5, 71, 60, 40, 51, 34, 11, 53, 58, 54, 15, 50, 20, 8, 1, 68, 63, 4, 14, 23, 62, 24, 17, 32, 42, 2, 72, 43, 73, 74, 46, 22, 35, 38, 9, 75, 19, 7, 41, 61, 36, 39, 27, 48, 67, 37, 47, 56, 16, 12, 45, 52, 69, 25, 26, 59, 55, 44, 64, 28, 66, 65","31, 44, 10, 57, 4, 28, 35, 62, 18, 43, 46, 65, 17, 29, 40, 64, 27, 47, 45, 25, 19, 11, 51, 72, 22, 5, 63, 3, 69, 60, 42, 66, 6, 71, 14, 55, 34, 36, 73, 24, 53, 21, 20, 12, 26, 1, 67, 15, 33, 16, 30, 75, 48, 2, 61, 37, 59, 74, 7, 50, 58, 9, 13, 39, 70, 68, 41, 23, 56, 32, 49, 52, 8, 38, 54","6","7325547"
"1, 39, 18, 25, 65, 52, 42, 41, 22, 16, 51, 63, 34, 3, 75, 47, 31, 28, 12, 8, 73, 36, 66, 67, 56, 20, 14, 68, 70, 27, 5, 64, 33, 4, 38, 49, 69, 55, 50, 26, 30, 35, 9, 6, 58, 11, 21, 45, 37, 54, 53, 2, 24, 74, 40, 10, 71, 29, 32, 13, 23, 15, 62, 44, 17, 7, 48, 60, 43, 59, 46, 19, 72, 61, 57","6, 66, 35, 26, 56, 15, 46, 7, 64, 60, 75, 17, 33, 29, 67, 18, 73, 3, 57, 65, 36, 68, 9, 4, 22, 61, 48, 63, 51, 20, 10, 50, 69, 23, 32, 24, 45, 53, 40, 54, 44, 71, 72, 38, 28, 49, 5, 31, 1, 37, 74, 62, 19, 43, 21, 34, 16, 39, 55, 41, 42, 27, 59, 2, 13, 25, 47, 8, 52, 14, 12, 30, 11, 58, 70","2","7325547"
