"sigma_o","sigma_x","Number of Components","Seed"
"63, 20, 46, 42, 19, 92, 13, 82, 44, 99, 27, 68, 72, 32, 62, 34, 18, 78, 52, 1, 96, 71, 23, 93, 14, 29, 47, 58, 49, 88, 48, 73, 69, 53, 90, 15, 56, 81, 6, 76, 91, 9, 51, 26, 39, 64, 75, 2, 17, 86, 4, 45, 21, 8, 77, 11, 40, 85, 22, 36, 16, 10, 57, 43, 97, 3, 65, 95, 5, 54, 50, 55, 100, 70, 25, 79, 84, 12, 59, 74, 60, 33, 94, 98, 31, 83, 24, 37, 80, 30, 28, 35, 41, 87, 61, 89, 66, 38, 7, 67","62, 7, 6, 92, 4, 35, 24, 37, 56, 55, 13, 49, 29, 8, 17, 61, 47, 63, 80, 64, 53, 81, 40, 16, 95, 9, 45, 67, 74, 87, 93, 90, 82, 23, 26, 84, 57, 5, 33, 65, 12, 43, 18, 10, 2, 11, 70, 54, 60, 30, 50, 38, 27, 59, 97, 28, 89, 20, 3, 44, 72, 75, 79, 48, 76, 34, 14, 1, 32, 52, 21, 100, 77, 58, 98, 41, 19, 71, 42, 31, 15, 86, 22, 25, 88, 51, 96, 91, 69, 46, 66, 68, 85, 78, 36, 99, 94, 83, 73, 39","5","4873077"
"73, 18, 5, 89, 86, 72, 9, 61, 17, 88, 62, 68, 58, 82, 85, 76, 35, 74, 20, 80, 33, 8, 50, 22, 97, 29, 95, 25, 4, 2, 28, 16, 51, 41, 100, 3, 63, 78, 44, 59, 65, 55, 23, 42, 91, 27, 87, 32, 56, 36, 54, 34, 40, 7, 81, 64, 19, 6, 77, 43, 99, 15, 31, 48, 67, 38, 14, 90, 60, 1, 45, 13, 11, 69, 49, 94, 66, 12, 79, 53, 57, 39, 46, 98, 83, 30, 84, 70, 24, 75, 71, 47, 21, 52, 26, 93, 92, 10, 37, 96","65, 70, 34, 15, 100, 68, 67, 64, 18, 54, 98, 94, 35, 61, 51, 57, 14, 4, 3, 59, 31, 82, 52, 21, 42, 50, 75, 23, 76, 91, 41, 32, 6, 7, 44, 8, 13, 26, 22, 48, 97, 46, 11, 72, 20, 90, 99, 69, 95, 73, 29, 53, 80, 66, 19, 58, 84, 93, 83, 63, 71, 17, 86, 25, 38, 30, 92, 1, 55, 87, 56, 60, 45, 12, 28, 40, 74, 89, 77, 2, 39, 85, 27, 43, 88, 37, 96, 79, 36, 16, 78, 24, 47, 33, 49, 62, 10, 9, 81, 5","3","4873077"
"1, 76, 10, 6, 68, 43, 17, 93, 23, 25, 98, 94, 45, 32, 13, 48, 26, 39, 41, 92, 36, 2, 28, 100, 58, 21, 91, 40, 87, 96, 60, 88, 18, 78, 84, 31, 8, 49, 73, 42, 44, 74, 59, 90, 34, 72, 63, 27, 71, 62, 7, 83, 53, 3, 81, 12, 64, 85, 29, 35, 52, 14, 69, 61, 56, 15, 86, 33, 46, 80, 38, 20, 24, 65, 30, 66, 47, 95, 82, 50, 67, 99, 75, 37, 70, 11, 16, 54, 51, 55, 97, 57, 5, 79, 4, 77, 19, 22, 9, 89","57, 34, 8, 9, 77, 7, 96, 32, 48, 54, 52, 21, 1, 55, 30, 11, 23, 17, 29, 5, 93, 33, 58, 22, 16, 72, 99, 83, 100, 82, 13, 37, 19, 4, 20, 47, 27, 89, 36, 18, 28, 76, 46, 2, 50, 95, 85, 10, 94, 65, 41, 84, 75, 59, 61, 92, 88, 70, 68, 78, 3, 35, 12, 86, 80, 31, 90, 44, 63, 49, 56, 74, 66, 71, 45, 64, 53, 25, 40, 97, 79, 69, 62, 67, 24, 14, 91, 43, 26, 42, 98, 81, 87, 60, 73, 51, 6, 15, 39, 38","3","4873077"
"100, 62, 44, 52, 4, 41, 28, 42, 30, 37, 80, 55, 23, 9, 68, 65, 58, 90, 67, 47, 14, 96, 35, 10, 99, 91, 72, 75, 73, 70, 66, 43, 83, 71, 2, 98, 1, 36, 33, 94, 45, 48, 39, 85, 15, 40, 82, 18, 77, 95, 22, 84, 5, 19, 81, 20, 54, 76, 86, 79, 8, 93, 13, 6, 25, 26, 21, 89, 88, 63, 31, 34, 24, 50, 53, 78, 64, 59, 60, 61, 92, 49, 56, 32, 27, 16, 17, 74, 57, 7, 69, 97, 3, 11, 29, 38, 12, 87, 51, 46","91, 41, 62, 84, 100, 81, 89, 95, 75, 46, 97, 69, 86, 7, 59, 27, 11, 24, 76, 63, 22, 48, 5, 71, 83, 23, 65, 45, 18, 64, 57, 15, 58, 4, 14, 61, 43, 74, 19, 93, 2, 60, 17, 55, 85, 21, 52, 73, 29, 47, 79, 28, 56, 36, 54, 26, 94, 32, 77, 68, 99, 42, 49, 20, 80, 96, 92, 70, 34, 1, 39, 30, 50, 37, 8, 66, 10, 12, 31, 33, 78, 9, 40, 13, 51, 6, 82, 25, 98, 67, 90, 87, 88, 44, 38, 3, 35, 72, 53, 16","3","4873077"
"29, 81, 75, 53, 8, 73, 85, 45, 58, 74, 67, 55, 10, 26, 31, 96, 62, 80, 63, 49, 44, 23, 25, 4, 43, 32, 34, 64, 39, 65, 28, 5, 35, 11, 38, 42, 36, 83, 46, 6, 15, 40, 61, 7, 60, 76, 21, 72, 2, 94, 78, 3, 69, 71, 93, 54, 86, 100, 52, 95, 14, 24, 90, 68, 82, 89, 27, 18, 77, 99, 79, 84, 30, 98, 12, 33, 1, 91, 20, 50, 92, 51, 37, 70, 16, 47, 57, 9, 13, 19, 59, 48, 66, 87, 88, 17, 97, 22, 41, 56","31, 12, 24, 87, 18, 80, 73, 65, 68, 47, 51, 76, 67, 81, 26, 88, 41, 21, 8, 95, 90, 64, 48, 71, 91, 55, 7, 98, 85, 10, 22, 62, 42, 20, 57, 54, 74, 82, 75, 36, 37, 63, 23, 69, 19, 25, 61, 84, 96, 46, 28, 15, 93, 52, 13, 17, 60, 32, 59, 1, 33, 44, 79, 72, 5, 6, 34, 3, 78, 49, 66, 56, 27, 40, 58, 35, 89, 45, 2, 92, 4, 70, 94, 86, 99, 83, 50, 97, 11, 100, 43, 77, 29, 39, 16, 9, 30, 14, 53, 38","1","4873077"
"11, 21, 91, 50, 100, 96, 62, 23, 7, 16, 33, 5, 44, 67, 43, 94, 17, 88, 26, 36, 28, 24, 70, 66, 90, 81, 45, 30, 38, 75, 82, 3, 52, 32, 79, 59, 53, 98, 19, 18, 71, 40, 93, 76, 97, 99, 42, 55, 89, 48, 80, 10, 39, 41, 51, 57, 77, 68, 27, 4, 34, 20, 37, 69, 60, 54, 78, 35, 92, 31, 61, 95, 9, 73, 72, 63, 86, 87, 13, 85, 29, 65, 2, 8, 6, 1, 58, 12, 47, 64, 49, 22, 74, 56, 14, 46, 83, 25, 15, 84","70, 31, 45, 34, 61, 95, 100, 4, 78, 50, 49, 35, 94, 88, 15, 37, 66, 79, 63, 83, 22, 21, 2, 32, 69, 54, 27, 52, 82, 51, 80, 55, 19, 92, 57, 36, 77, 43, 60, 1, 44, 47, 53, 28, 81, 8, 10, 62, 72, 89, 9, 23, 30, 25, 42, 74, 90, 97, 5, 46, 76, 65, 16, 68, 86, 39, 73, 24, 40, 41, 71, 13, 29, 91, 6, 3, 98, 59, 17, 56, 33, 67, 85, 7, 26, 96, 20, 93, 75, 84, 12, 38, 64, 87, 99, 58, 48, 18, 14, 11","1","4873077"
"6, 83, 13, 77, 40, 62, 78, 42, 34, 72, 85, 63, 48, 82, 50, 4, 99, 27, 64, 54, 30, 7, 95, 81, 90, 61, 100, 44, 94, 28, 58, 87, 15, 98, 93, 97, 8, 52, 56, 38, 33, 5, 53, 41, 55, 31, 75, 92, 74, 60, 80, 23, 91, 26, 3, 35, 20, 37, 17, 67, 25, 11, 2, 70, 65, 1, 14, 10, 86, 39, 21, 12, 96, 19, 88, 71, 24, 76, 18, 51, 43, 9, 36, 57, 49, 45, 16, 66, 84, 69, 47, 89, 22, 59, 29, 32, 73, 68, 46, 79","79, 92, 67, 91, 54, 70, 10, 53, 24, 63, 32, 60, 84, 52, 13, 100, 48, 2, 7, 81, 28, 99, 11, 88, 39, 29, 73, 20, 35, 41, 90, 17, 27, 26, 71, 5, 4, 86, 69, 18, 31, 56, 19, 44, 45, 30, 9, 80, 37, 58, 78, 66, 36, 6, 43, 22, 40, 76, 47, 12, 64, 75, 89, 49, 50, 59, 38, 82, 3, 96, 34, 46, 25, 68, 87, 74, 51, 95, 65, 55, 72, 14, 94, 16, 77, 85, 98, 42, 61, 33, 21, 15, 83, 1, 57, 93, 23, 8, 62, 97","4","4873077"
"4, 56, 37, 94, 44, 68, 80, 24, 90, 15, 42, 1, 99, 39, 32, 10, 17, 51, 74, 53, 65, 62, 19, 59, 64, 71, 9, 5, 93, 36, 97, 86, 75, 91, 25, 7, 82, 58, 73, 41, 21, 60, 3, 66, 23, 61, 47, 100, 35, 18, 79, 72, 77, 50, 40, 33, 55, 26, 63, 30, 22, 38, 45, 29, 8, 28, 52, 57, 83, 54, 96, 89, 84, 49, 69, 76, 88, 13, 6, 85, 43, 31, 81, 14, 87, 70, 98, 12, 48, 27, 95, 16, 2, 11, 92, 67, 34, 46, 78, 20","40, 9, 38, 42, 21, 22, 23, 71, 55, 58, 6, 10, 74, 63, 18, 8, 90, 83, 52, 99, 54, 84, 35, 7, 66, 15, 31, 80, 1, 45, 16, 85, 77, 3, 48, 33, 78, 62, 24, 13, 47, 73, 72, 60, 67, 82, 76, 87, 11, 50, 92, 64, 81, 30, 65, 19, 96, 36, 98, 29, 43, 56, 88, 34, 2, 100, 26, 37, 28, 12, 89, 69, 39, 46, 94, 75, 70, 44, 49, 61, 79, 17, 27, 86, 41, 91, 68, 93, 97, 14, 5, 59, 20, 57, 4, 25, 32, 51, 53, 95","2","4873077"
"9, 28, 99, 26, 18, 35, 34, 41, 37, 75, 47, 33, 50, 64, 43, 14, 13, 53, 32, 77, 46, 19, 11, 72, 15, 98, 7, 39, 71, 17, 38, 100, 94, 54, 84, 97, 16, 82, 62, 78, 45, 66, 10, 40, 30, 92, 74, 65, 25, 60, 12, 8, 23, 4, 95, 52, 36, 93, 81, 85, 70, 86, 27, 56, 22, 6, 61, 59, 69, 3, 24, 42, 57, 87, 5, 90, 48, 51, 96, 89, 79, 67, 83, 31, 44, 63, 80, 49, 20, 76, 68, 55, 1, 58, 88, 29, 73, 2, 91, 21","43, 57, 54, 59, 62, 10, 87, 77, 17, 60, 74, 90, 41, 84, 21, 56, 93, 70, 61, 68, 78, 6, 52, 81, 27, 34, 46, 35, 58, 36, 64, 11, 49, 63, 94, 3, 100, 42, 31, 15, 98, 88, 37, 51, 50, 89, 82, 67, 26, 8, 44, 25, 2, 66, 33, 7, 22, 12, 76, 65, 29, 30, 71, 40, 4, 97, 9, 39, 18, 16, 55, 5, 28, 92, 45, 32, 19, 38, 73, 14, 95, 1, 72, 53, 79, 20, 85, 83, 86, 24, 75, 96, 48, 99, 91, 13, 47, 23, 80, 69","5","4873077"
"70, 82, 89, 90, 75, 65, 33, 39, 46, 74, 36, 3, 59, 13, 31, 73, 19, 50, 8, 96, 10, 49, 56, 69, 17, 61, 4, 14, 54, 41, 2, 67, 78, 81, 51, 88, 85, 55, 42, 97, 68, 80, 66, 71, 18, 87, 30, 29, 11, 83, 44, 62, 92, 93, 47, 7, 52, 34, 98, 76, 60, 22, 37, 58, 15, 26, 77, 72, 20, 100, 43, 84, 35, 57, 9, 86, 94, 91, 48, 99, 1, 45, 6, 28, 12, 27, 53, 38, 95, 79, 5, 21, 32, 23, 16, 64, 24, 63, 25, 40","45, 51, 64, 17, 67, 36, 62, 87, 26, 70, 37, 49, 74, 28, 85, 84, 56, 58, 44, 61, 96, 40, 30, 47, 3, 98, 39, 100, 77, 2, 79, 5, 94, 25, 69, 41, 20, 12, 21, 60, 4, 68, 99, 10, 81, 57, 53, 50, 82, 1, 14, 13, 93, 91, 55, 78, 63, 18, 89, 80, 52, 31, 38, 73, 76, 43, 16, 95, 33, 7, 75, 90, 86, 29, 6, 19, 27, 8, 42, 9, 83, 34, 66, 11, 72, 24, 59, 15, 97, 54, 71, 88, 23, 65, 92, 35, 22, 48, 32, 46","4","4873077"
"56, 50, 90, 66, 99, 4, 86, 82, 46, 91, 13, 79, 26, 40, 35, 71, 19, 6, 5, 45, 21, 75, 29, 70, 81, 17, 27, 53, 69, 83, 42, 85, 25, 94, 64, 63, 14, 39, 2, 11, 38, 15, 76, 30, 51, 1, 74, 58, 36, 84, 59, 22, 87, 77, 9, 98, 41, 88, 57, 93, 73, 32, 92, 10, 55, 33, 100, 60, 37, 67, 28, 89, 44, 80, 65, 49, 23, 97, 52, 7, 95, 8, 31, 62, 68, 78, 43, 61, 16, 72, 24, 96, 34, 48, 3, 47, 12, 54, 20, 18","58, 8, 34, 86, 3, 75, 41, 98, 30, 92, 68, 21, 57, 85, 77, 87, 17, 23, 38, 2, 82, 97, 25, 64, 14, 94, 88, 1, 96, 28, 45, 35, 7, 9, 66, 24, 61, 80, 81, 70, 53, 5, 27, 51, 16, 52, 46, 31, 49, 13, 60, 55, 20, 95, 50, 79, 36, 39, 19, 84, 22, 26, 69, 43, 33, 32, 91, 15, 56, 71, 73, 12, 18, 29, 93, 72, 74, 47, 6, 62, 59, 10, 48, 89, 40, 44, 11, 67, 99, 63, 42, 65, 100, 78, 37, 4, 83, 90, 54, 76","3","4873077"
"24, 70, 88, 14, 69, 72, 54, 80, 18, 100, 90, 30, 95, 82, 34, 40, 21, 16, 19, 78, 53, 87, 93, 63, 52, 17, 38, 97, 89, 9, 29, 77, 39, 1, 2, 35, 74, 31, 79, 58, 8, 81, 44, 15, 98, 49, 50, 25, 26, 7, 96, 73, 66, 86, 59, 41, 56, 75, 23, 71, 84, 12, 76, 64, 10, 36, 61, 33, 42, 13, 27, 51, 5, 83, 37, 22, 67, 99, 91, 92, 57, 28, 20, 60, 32, 68, 47, 4, 65, 6, 43, 62, 85, 48, 45, 55, 3, 46, 94, 11","48, 25, 2, 6, 36, 49, 40, 74, 65, 95, 16, 37, 35, 52, 79, 72, 73, 90, 98, 39, 14, 50, 80, 96, 4, 21, 43, 86, 60, 59, 27, 41, 100, 28, 33, 13, 56, 70, 18, 22, 81, 34, 29, 42, 38, 97, 55, 19, 93, 78, 5, 87, 58, 69, 68, 9, 94, 44, 53, 3, 47, 24, 7, 99, 30, 51, 11, 85, 1, 63, 8, 23, 54, 20, 76, 12, 75, 57, 31, 15, 71, 82, 64, 61, 66, 17, 77, 62, 10, 92, 46, 91, 67, 83, 26, 84, 32, 45, 88, 89","5","4873077"
"21, 71, 39, 55, 61, 13, 62, 76, 90, 57, 4, 50, 60, 96, 49, 10, 45, 33, 19, 75, 97, 5, 79, 40, 87, 98, 41, 69, 74, 72, 48, 65, 59, 6, 93, 86, 24, 56, 42, 67, 43, 82, 64, 66, 46, 68, 94, 91, 11, 20, 53, 80, 27, 52, 100, 18, 16, 38, 23, 9, 30, 63, 58, 95, 28, 78, 83, 29, 34, 92, 26, 22, 85, 84, 73, 12, 8, 2, 54, 77, 88, 37, 15, 7, 32, 44, 35, 99, 89, 81, 17, 47, 25, 51, 3, 70, 31, 14, 1, 36","87, 65, 12, 25, 3, 61, 92, 18, 77, 86, 83, 30, 29, 17, 41, 35, 100, 88, 26, 39, 40, 16, 96, 52, 66, 79, 56, 48, 31, 9, 93, 95, 82, 58, 63, 46, 75, 36, 5, 80, 55, 13, 99, 8, 38, 6, 91, 50, 85, 2, 45, 68, 84, 73, 53, 7, 78, 33, 49, 1, 98, 21, 4, 90, 42, 47, 20, 89, 23, 70, 94, 60, 64, 62, 71, 54, 19, 76, 14, 57, 27, 72, 28, 22, 81, 97, 24, 69, 15, 34, 51, 67, 43, 59, 32, 37, 74, 44, 11, 10","5","4873077"
