"sigma_o","sigma_x","Number of Components","Seed"
"43, 12, 29, 16, 57, 10, 71, 63, 18, 49, 15, 30, 19, 25, 69, 26, 62, 75, 66, 24, 28, 54, 31, 2, 50, 53, 51, 1, 59, 72, 11, 52, 74, 22, 65, 34, 68, 46, 32, 38, 44, 55, 36, 4, 27, 39, 58, 14, 3, 47, 61, 23, 17, 35, 67, 33, 13, 56, 60, 37, 8, 70, 73, 48, 42, 20, 21, 7, 45, 41, 9, 64, 5, 6, 40","52, 39, 68, 41, 30, 26, 47, 5, 35, 15, 32, 50, 67, 27, 31, 40, 24, 60, 58, 73, 20, 19, 48, 38, 46, 16, 22, 18, 72, 29, 36, 59, 21, 66, 45, 33, 7, 51, 62, 34, 9, 74, 37, 71, 53, 17, 2, 43, 11, 70, 65, 3, 6, 64, 54, 23, 61, 8, 69, 10, 63, 13, 57, 42, 25, 1, 14, 55, 4, 44, 49, 12, 56, 75, 28","5","9210025"
"51, 16, 29, 4, 46, 72, 55, 49, 41, 75, 45, 52, 34, 3, 15, 22, 28, 54, 60, 67, 13, 6, 65, 44, 33, 10, 1, 19, 21, 71, 30, 69, 5, 23, 26, 42, 66, 12, 68, 17, 73, 9, 25, 31, 58, 64, 62, 35, 59, 61, 50, 2, 74, 63, 43, 11, 14, 27, 37, 24, 18, 48, 40, 57, 56, 32, 20, 36, 70, 38, 39, 47, 7, 8, 53","7, 1, 6, 18, 49, 16, 60, 36, 66, 37, 46, 5, 38, 4, 28, 55, 57, 10, 23, 42, 2, 12, 34, 11, 24, 26, 14, 33, 59, 74, 56, 45, 3, 15, 39, 19, 54, 13, 69, 22, 40, 31, 21, 61, 64, 32, 44, 29, 53, 43, 52, 72, 25, 8, 17, 30, 71, 9, 51, 65, 50, 70, 27, 68, 62, 47, 41, 67, 75, 63, 73, 35, 58, 20, 48","4","9210025"
"42, 72, 70, 63, 54, 15, 44, 19, 14, 58, 16, 62, 61, 9, 46, 37, 30, 13, 52, 75, 27, 34, 55, 23, 5, 22, 20, 33, 11, 21, 64, 36, 18, 8, 29, 53, 2, 74, 41, 71, 50, 57, 35, 1, 47, 68, 28, 60, 17, 67, 10, 66, 38, 31, 26, 7, 56, 39, 49, 32, 12, 24, 40, 65, 45, 25, 59, 3, 48, 4, 51, 69, 43, 73, 6","11, 7, 50, 9, 46, 47, 33, 24, 32, 10, 70, 35, 55, 41, 17, 48, 60, 19, 30, 2, 59, 29, 54, 13, 44, 25, 31, 69, 71, 64, 51, 73, 27, 5, 49, 42, 65, 18, 62, 38, 22, 66, 8, 20, 3, 28, 67, 43, 26, 58, 16, 14, 63, 4, 52, 39, 61, 21, 23, 72, 6, 57, 15, 40, 36, 37, 53, 56, 74, 12, 68, 34, 1, 75, 45","2","9210025"
"3, 23, 21, 16, 22, 20, 6, 75, 12, 10, 65, 29, 54, 43, 36, 71, 37, 33, 39, 4, 11, 66, 74, 30, 42, 26, 13, 49, 46, 28, 70, 7, 67, 31, 34, 55, 19, 51, 62, 35, 45, 40, 38, 48, 5, 25, 73, 2, 72, 8, 57, 64, 50, 18, 14, 53, 17, 27, 41, 47, 9, 59, 58, 61, 44, 68, 15, 56, 60, 32, 63, 52, 1, 69, 24","6, 11, 43, 1, 9, 4, 27, 60, 75, 64, 50, 7, 68, 16, 32, 30, 70, 72, 23, 44, 54, 8, 56, 26, 59, 36, 55, 37, 25, 18, 58, 31, 2, 29, 12, 62, 57, 35, 13, 73, 67, 22, 39, 15, 19, 65, 20, 48, 63, 40, 51, 52, 53, 5, 45, 10, 71, 17, 24, 3, 46, 42, 38, 33, 69, 28, 66, 47, 61, 49, 41, 21, 14, 34, 74","5","9210025"
"56, 41, 23, 35, 40, 53, 25, 6, 64, 10, 3, 45, 17, 52, 54, 16, 65, 24, 44, 50, 66, 70, 20, 18, 71, 4, 61, 67, 32, 34, 73, 59, 68, 46, 2, 13, 69, 30, 27, 36, 75, 37, 39, 31, 11, 9, 7, 21, 57, 48, 60, 8, 49, 28, 1, 5, 12, 74, 58, 14, 51, 43, 47, 42, 15, 38, 22, 62, 26, 19, 63, 72, 29, 55, 33","4, 8, 56, 27, 70, 44, 41, 23, 13, 11, 34, 19, 2, 59, 31, 45, 67, 21, 3, 15, 50, 5, 65, 51, 60, 35, 20, 24, 16, 14, 58, 72, 29, 62, 57, 17, 49, 26, 75, 30, 18, 55, 52, 63, 73, 33, 9, 39, 48, 36, 6, 32, 22, 1, 64, 43, 66, 42, 47, 7, 10, 38, 25, 46, 74, 12, 28, 37, 71, 53, 68, 54, 61, 69, 40","2","9210025"
"58, 57, 51, 30, 3, 6, 25, 55, 69, 56, 37, 63, 54, 73, 44, 74, 38, 70, 12, 41, 32, 16, 29, 35, 34, 71, 36, 23, 47, 39, 1, 15, 8, 28, 40, 43, 60, 2, 11, 5, 59, 68, 46, 19, 42, 7, 64, 65, 13, 27, 49, 61, 24, 18, 33, 67, 10, 45, 17, 21, 52, 50, 14, 22, 31, 9, 26, 66, 48, 4, 72, 20, 62, 75, 53","30, 38, 49, 48, 61, 17, 28, 43, 54, 51, 46, 7, 11, 8, 69, 9, 31, 52, 14, 3, 56, 67, 53, 13, 47, 1, 39, 15, 63, 32, 75, 45, 66, 41, 44, 60, 25, 36, 22, 24, 5, 10, 18, 27, 26, 6, 37, 55, 12, 34, 2, 73, 68, 21, 23, 50, 64, 72, 35, 62, 4, 20, 74, 19, 59, 58, 65, 57, 71, 70, 16, 42, 33, 29, 40","4","9210025"
"21, 66, 2, 27, 34, 30, 6, 58, 45, 53, 65, 29, 33, 42, 52, 7, 51, 41, 71, 75, 35, 55, 67, 60, 37, 49, 15, 36, 31, 46, 25, 19, 17, 44, 9, 12, 40, 50, 14, 73, 72, 43, 70, 56, 13, 26, 5, 22, 32, 57, 23, 54, 63, 20, 68, 59, 28, 16, 74, 10, 24, 48, 61, 11, 3, 38, 1, 62, 64, 4, 39, 47, 8, 18, 69","67, 12, 4, 21, 40, 9, 36, 26, 37, 72, 35, 2, 25, 39, 54, 14, 60, 75, 61, 32, 6, 23, 44, 27, 70, 7, 1, 13, 33, 5, 43, 46, 63, 73, 48, 8, 17, 62, 18, 38, 42, 19, 49, 45, 34, 65, 47, 20, 24, 64, 30, 56, 51, 69, 74, 16, 22, 57, 59, 11, 53, 31, 68, 66, 58, 71, 29, 52, 28, 3, 50, 10, 41, 55, 15","2","9210025"
"38, 1, 17, 49, 15, 75, 23, 6, 58, 71, 43, 68, 34, 25, 41, 12, 21, 45, 72, 31, 33, 9, 16, 36, 57, 4, 3, 8, 30, 29, 27, 48, 56, 62, 2, 5, 61, 11, 46, 26, 70, 7, 63, 47, 73, 65, 39, 64, 50, 14, 74, 42, 19, 66, 69, 51, 55, 67, 13, 22, 32, 28, 18, 59, 60, 37, 54, 24, 53, 40, 20, 35, 44, 10, 52","28, 35, 72, 42, 16, 11, 36, 20, 10, 13, 14, 49, 37, 4, 27, 8, 51, 31, 70, 29, 60, 3, 63, 30, 69, 33, 26, 45, 40, 1, 55, 7, 65, 57, 5, 22, 52, 59, 19, 17, 62, 6, 48, 12, 24, 18, 73, 56, 71, 44, 61, 74, 21, 46, 39, 15, 54, 58, 38, 23, 43, 9, 47, 2, 50, 64, 66, 68, 25, 75, 32, 67, 34, 41, 53","3","9210025"
"68, 10, 63, 49, 53, 35, 37, 25, 59, 5, 15, 47, 55, 61, 28, 41, 50, 42, 33, 11, 20, 23, 12, 6, 13, 39, 40, 31, 66, 71, 67, 65, 14, 51, 56, 7, 22, 27, 48, 62, 46, 74, 19, 1, 26, 45, 44, 70, 60, 3, 24, 52, 18, 38, 73, 58, 69, 9, 21, 75, 54, 29, 16, 64, 34, 17, 72, 43, 57, 36, 2, 8, 32, 4, 30","38, 35, 39, 23, 43, 10, 52, 60, 54, 19, 30, 33, 5, 47, 31, 3, 21, 8, 18, 20, 75, 70, 66, 48, 46, 17, 29, 32, 62, 1, 41, 13, 68, 6, 64, 14, 25, 59, 69, 56, 71, 7, 45, 61, 37, 24, 28, 11, 2, 49, 22, 42, 67, 16, 51, 74, 15, 58, 26, 4, 57, 65, 50, 55, 72, 73, 53, 12, 9, 27, 34, 44, 63, 36, 40","3","9210025"
"51, 36, 41, 4, 67, 18, 64, 7, 27, 63, 10, 47, 53, 65, 69, 74, 60, 73, 61, 14, 35, 25, 17, 44, 48, 8, 12, 3, 68, 21, 49, 59, 19, 54, 58, 38, 39, 71, 55, 23, 50, 16, 31, 24, 43, 40, 29, 62, 15, 37, 52, 57, 75, 26, 11, 5, 45, 72, 22, 20, 34, 6, 2, 30, 9, 66, 32, 70, 46, 1, 13, 42, 28, 33, 56","39, 24, 21, 53, 69, 73, 67, 52, 58, 54, 65, 13, 31, 59, 29, 75, 18, 68, 55, 62, 72, 23, 40, 11, 7, 34, 42, 2, 56, 46, 32, 26, 50, 10, 27, 64, 9, 28, 60, 19, 66, 63, 20, 22, 25, 74, 17, 15, 61, 57, 48, 1, 70, 51, 47, 12, 6, 43, 3, 38, 44, 30, 71, 14, 4, 33, 36, 35, 37, 16, 5, 49, 45, 41, 8","4","9210025"
"61, 66, 15, 48, 19, 71, 22, 21, 13, 36, 51, 4, 53, 20, 32, 39, 64, 9, 74, 16, 6, 59, 1, 23, 11, 35, 42, 54, 70, 18, 14, 38, 41, 68, 29, 57, 3, 27, 62, 69, 28, 65, 34, 50, 75, 2, 73, 63, 26, 72, 45, 17, 25, 37, 46, 44, 7, 60, 67, 55, 47, 31, 40, 30, 49, 24, 43, 5, 56, 52, 12, 33, 10, 58, 8","47, 10, 21, 43, 7, 42, 2, 73, 57, 39, 25, 8, 58, 61, 35, 24, 11, 41, 15, 33, 14, 68, 71, 26, 18, 19, 62, 6, 40, 63, 59, 49, 53, 67, 37, 36, 5, 29, 4, 31, 54, 38, 44, 75, 48, 64, 66, 56, 22, 45, 34, 27, 13, 46, 1, 51, 74, 17, 20, 65, 28, 16, 3, 72, 32, 30, 23, 50, 52, 55, 9, 69, 60, 70, 12","4","9210025"
"66, 56, 4, 52, 64, 20, 21, 10, 55, 12, 19, 39, 31, 65, 33, 73, 50, 49, 67, 23, 54, 71, 36, 28, 2, 15, 24, 58, 46, 60, 14, 41, 27, 43, 38, 1, 35, 42, 75, 26, 57, 3, 11, 61, 51, 30, 44, 8, 16, 53, 40, 22, 32, 13, 34, 68, 9, 47, 69, 7, 63, 29, 74, 62, 59, 18, 25, 17, 72, 45, 48, 37, 5, 70, 6","43, 29, 71, 37, 69, 3, 27, 16, 31, 64, 23, 54, 22, 67, 9, 74, 25, 1, 34, 75, 8, 73, 5, 13, 51, 12, 47, 41, 48, 52, 45, 61, 30, 18, 44, 7, 19, 11, 60, 68, 46, 20, 2, 56, 62, 21, 63, 6, 14, 35, 42, 49, 36, 65, 33, 28, 10, 58, 50, 40, 4, 72, 15, 55, 17, 24, 53, 70, 39, 59, 26, 38, 57, 66, 32","5","9210025"
"10, 39, 51, 37, 36, 28, 60, 45, 19, 16, 40, 48, 59, 2, 8, 43, 3, 41, 58, 22, 62, 4, 57, 23, 65, 42, 7, 25, 30, 69, 35, 9, 68, 12, 54, 27, 29, 26, 73, 24, 11, 50, 15, 74, 32, 5, 47, 17, 34, 6, 75, 55, 1, 63, 33, 31, 21, 52, 67, 44, 66, 38, 18, 71, 46, 49, 20, 13, 53, 61, 14, 72, 56, 64, 70","71, 55, 2, 54, 29, 46, 61, 67, 27, 25, 60, 51, 62, 23, 24, 20, 18, 58, 4, 3, 49, 9, 15, 41, 33, 6, 45, 31, 42, 59, 40, 7, 12, 5, 57, 73, 1, 14, 11, 44, 32, 30, 22, 28, 37, 66, 74, 48, 36, 8, 35, 13, 19, 21, 68, 53, 65, 69, 34, 50, 17, 75, 64, 47, 10, 43, 70, 56, 26, 38, 16, 39, 72, 52, 63","6","9210025"
"34, 46, 52, 40, 23, 73, 19, 28, 44, 14, 10, 61, 62, 49, 42, 8, 1, 43, 25, 20, 70, 31, 71, 65, 17, 33, 64, 55, 12, 5, 56, 11, 6, 4, 57, 63, 75, 16, 21, 26, 50, 37, 24, 3, 69, 51, 27, 45, 18, 22, 39, 47, 67, 68, 2, 58, 72, 38, 53, 60, 54, 13, 15, 41, 35, 74, 32, 30, 29, 36, 9, 48, 66, 59, 7","71, 2, 33, 62, 66, 55, 58, 18, 50, 10, 35, 44, 11, 43, 46, 40, 54, 38, 42, 30, 1, 64, 47, 4, 61, 36, 23, 63, 65, 24, 73, 7, 31, 25, 27, 13, 52, 14, 45, 19, 75, 49, 29, 34, 53, 15, 69, 57, 51, 68, 72, 70, 39, 37, 48, 60, 41, 8, 16, 12, 32, 20, 56, 21, 6, 3, 5, 26, 59, 17, 22, 28, 74, 9, 67","3","9210025"
"17, 71, 66, 41, 20, 3, 27, 54, 75, 53, 57, 39, 74, 4, 67, 73, 16, 30, 69, 34, 23, 56, 10, 55, 14, 26, 2, 65, 60, 62, 59, 50, 24, 38, 36, 48, 5, 44, 11, 22, 8, 63, 68, 1, 37, 19, 18, 47, 32, 45, 49, 13, 42, 43, 70, 58, 25, 6, 46, 9, 7, 35, 15, 72, 28, 52, 61, 33, 40, 51, 31, 64, 29, 21, 12","13, 26, 3, 40, 47, 4, 39, 31, 29, 8, 59, 52, 32, 18, 41, 64, 45, 6, 12, 24, 46, 10, 1, 2, 66, 38, 69, 73, 33, 7, 62, 68, 42, 37, 57, 56, 61, 23, 71, 53, 9, 49, 51, 72, 5, 63, 27, 54, 16, 14, 25, 58, 44, 35, 55, 67, 28, 48, 36, 50, 60, 15, 74, 20, 70, 75, 65, 21, 11, 19, 34, 43, 30, 17, 22","2","9210025"
"18, 64, 43, 49, 35, 9, 1, 34, 75, 39, 30, 67, 2, 42, 36, 48, 74, 19, 20, 53, 22, 23, 71, 24, 7, 47, 5, 70, 38, 27, 61, 21, 3, 58, 14, 51, 52, 55, 17, 13, 62, 15, 65, 29, 66, 8, 54, 28, 4, 73, 45, 56, 44, 31, 26, 59, 46, 12, 11, 69, 57, 33, 60, 10, 40, 6, 41, 72, 68, 50, 37, 25, 63, 32, 16","27, 49, 44, 8, 30, 37, 54, 3, 13, 74, 38, 40, 17, 19, 68, 21, 2, 47, 15, 72, 43, 33, 75, 70, 10, 55, 42, 34, 48, 32, 73, 5, 53, 9, 4, 28, 18, 51, 36, 39, 25, 65, 22, 56, 24, 20, 35, 57, 60, 71, 6, 14, 45, 61, 66, 58, 64, 52, 59, 23, 50, 12, 63, 67, 41, 26, 1, 7, 46, 62, 69, 16, 29, 11, 31","3","9210025"
"38, 51, 36, 13, 42, 9, 71, 37, 7, 27, 21, 23, 31, 34, 5, 58, 68, 60, 50, 24, 32, 35, 66, 47, 30, 49, 1, 29, 22, 6, 46, 19, 43, 44, 52, 4, 55, 73, 40, 10, 16, 72, 62, 33, 2, 25, 57, 45, 75, 17, 41, 18, 69, 53, 3, 12, 15, 39, 28, 74, 65, 63, 56, 61, 8, 26, 48, 14, 11, 54, 20, 70, 64, 59, 67","51, 23, 60, 31, 25, 37, 73, 62, 41, 5, 54, 57, 28, 39, 16, 27, 22, 32, 40, 15, 49, 71, 46, 72, 18, 26, 13, 44, 10, 14, 8, 9, 66, 69, 38, 36, 48, 70, 34, 55, 64, 67, 53, 6, 1, 19, 68, 65, 21, 4, 74, 61, 30, 12, 2, 63, 58, 50, 3, 47, 45, 7, 20, 59, 33, 75, 43, 17, 24, 52, 42, 56, 35, 29, 11","6","9210025"
"37, 47, 32, 45, 68, 36, 35, 40, 11, 26, 43, 21, 4, 51, 24, 74, 22, 2, 64, 3, 20, 38, 71, 54, 5, 1, 9, 53, 48, 25, 69, 66, 63, 23, 14, 29, 18, 34, 39, 15, 49, 28, 27, 67, 6, 55, 58, 12, 73, 65, 7, 62, 13, 17, 70, 46, 50, 41, 33, 44, 60, 57, 52, 31, 30, 56, 10, 61, 42, 19, 59, 16, 75, 8, 72","32, 15, 73, 1, 19, 3, 62, 42, 72, 27, 9, 48, 61, 39, 14, 7, 31, 75, 45, 30, 12, 33, 57, 28, 71, 47, 16, 25, 13, 74, 52, 35, 29, 24, 8, 37, 10, 6, 34, 49, 41, 70, 23, 68, 64, 54, 53, 11, 43, 67, 56, 51, 69, 50, 26, 59, 18, 63, 46, 60, 38, 22, 40, 55, 2, 66, 36, 17, 5, 65, 44, 58, 21, 4, 20","5","9210025"
"57, 18, 22, 61, 52, 63, 40, 8, 26, 36, 27, 25, 42, 29, 33, 2, 44, 46, 68, 72, 28, 30, 43, 24, 34, 9, 23, 19, 48, 70, 16, 6, 4, 51, 17, 62, 15, 14, 53, 64, 67, 38, 58, 55, 73, 71, 50, 60, 66, 35, 12, 13, 65, 47, 41, 1, 21, 7, 69, 20, 39, 74, 11, 45, 3, 10, 5, 59, 75, 49, 31, 56, 32, 37, 54","21, 20, 26, 23, 10, 54, 45, 72, 44, 28, 32, 7, 47, 70, 41, 43, 14, 42, 31, 46, 16, 38, 39, 60, 52, 3, 9, 2, 66, 71, 65, 18, 36, 1, 48, 8, 4, 61, 56, 6, 57, 68, 50, 34, 29, 62, 67, 64, 63, 69, 25, 40, 55, 11, 74, 12, 49, 17, 59, 37, 75, 15, 33, 24, 27, 35, 19, 58, 13, 30, 5, 51, 73, 22, 53","2","9210025"
"42, 5, 44, 10, 30, 28, 7, 12, 1, 22, 58, 73, 59, 72, 54, 6, 8, 38, 35, 24, 71, 13, 70, 60, 49, 48, 67, 33, 19, 50, 64, 15, 39, 51, 17, 14, 26, 36, 52, 23, 43, 32, 31, 56, 27, 18, 9, 4, 11, 45, 57, 20, 75, 37, 69, 68, 61, 41, 74, 29, 25, 65, 53, 16, 63, 55, 66, 3, 2, 21, 34, 62, 46, 47, 40","47, 67, 51, 34, 11, 30, 15, 35, 75, 1, 26, 2, 42, 31, 59, 61, 49, 44, 71, 45, 48, 10, 52, 69, 56, 43, 5, 24, 29, 32, 70, 50, 6, 38, 23, 28, 66, 65, 18, 63, 46, 37, 55, 57, 72, 54, 58, 62, 17, 19, 68, 73, 53, 21, 4, 14, 22, 3, 25, 36, 60, 64, 16, 7, 20, 12, 40, 39, 9, 13, 8, 27, 41, 33, 74","4","9210025"
